widget_id,section,title,chartType,disposition,legacy_ids,species,taxon_scope,weight_basis,market_stage,quota_semantics,metrics,claim_type,currency,source_ids,archive_path,restrictions,extractor,owner,note
B_landed_cost_calc,B,랜딩코스트 계산기 (수입단가 × 관세 × 환율),card,신규,,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,incl_cuttlefish,net_weight,import_unit,n/a,level,operational,KRW,SQ-TRD-KCS|SQ-CLS-FAO-HS|MAN-TARIFF-KR,update_2026-07-06/hs/HS_matrix_squid.csv,G-004|MANUAL-TARIFF,derive.py,P1+P3-B,"관세율=수기 상수(2026-08 기준, extras/tariffs 비어 있음). 환율은 사용자 입력 슬라이더 → 데이터 클레임 아님"
B_species_price_ladder,B,오징어 종·규격별 가격 계단,bar,개보수,w33_eu_first_sale_spread,Doryteuthis gahi|Illex argentinus|Loligo spp,squid_only,product_weight,import_unit,n/a,spread,descriptive,EUR,SQ-PRC-FAO-EFPR,00_오징어_관련자료/01_오징어_시장·가격/05_시장·소비/20260812-EUMOFA-Squid_Profile.html;00_오징어_관련자료/01_오징어_시장·가격/04_가격·도매/20260700-FAO-European_Fish_Price_Report_July_2026.md,,md_extract.py,P1+P3-B,같은 거래단계(import_unit) 안에서만 비교 — G-008 준수. 조달 실무에 가장 직접적인 지표: 어느 종·규격이 얼마를 받는가
B_globefish_market_brief,B,GLOBEFISH 두족류 시황 요약,card,신규,,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,cephalopods_nei,n/a,n/a,n/a,coverage,descriptive,n/a,SQ-MKT-FAO-GLOBEFISH,00_오징어_관련자료/01_오징어_시장·가격/05_시장·소비/20260703-FAO-GLOBEFISH_Highlights_2_2026.md;00_오징어_관련자료/01_오징어_시장·가격/05_시장·소비/20260525-FAO_GLOBEFISH-Cephalopods_May_2026.md,G-002,md_extract.py,P1+P3-B,두족류 전체 범위 — taxon_note 필수
B_price_freshness_board,B,가격 지표 신선도 보드,heatmap,신규,,n/a,squid_only,n/a,n/a,n/a,coverage,operational,n/a,SQ-PRC-KMI|SQ-PRC-FAO-EFPR|SQ-TRD-KCS,00_오징어_관련자료/01_오징어_시장·가격/00_운영/monitoring_calendar.csv,,derive.py,P1+P3-B,지표별 기준일 경과일수 — 빌드 시각 기준 산출
C_hs_classification_map,C,HS 분류 맵 (030741~49 × 제품형태),matrix,신규,,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,incl_cuttlefish,n/a,n/a,n/a,coverage,legal,n/a,SQ-CLS-FAO-HS,00_오징어_관련자료/01_오징어_시장·가격/03_무역·HS/20260602-FAO-HS_Codes_for_Cephalopods_2026.md;update_2026-07-06/hs/HS_matrix_squid.csv,G-002,hs_map.py,P1+P3-C,어느 HS가 갑오징어를 포함하는지 명시 — 이 페이지 전체 taxon_scope 판단의 근거
C_korea_import_monthly,C,한국 수입 월별 × 상대국,stackedBar,개보수,w68_import_dependency,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,incl_cuttlefish,net_weight,import_unit,n/a,level,descriptive,USD,SQ-TRD-KCS,update_2026-07-06/kcs/KCS_2026YTD_HS_squid.csv,G-002|G-004,kcs.py,P1+P3-C,HS 030742|030743|030749|160554 상세행. 2025 공백 명시. 2026은 01~05
C_import_concentration,C,한국 수입 의존도·집중도,bar,개보수,w55_export_concentration|w_squid_origin_diversification_2025,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,incl_cuttlefish,net_weight,import_unit,n/a,share,descriptive,USD,SQ-TRD-KCS,extras/kcs/KCS_squid_HS_2020-2024.csv,G-002,kcs.py,P1+P3-C,분모=HS 030742|030743|030749|160554. 점유율은 KCS(한국 수입 내 비중)만 — 글로벌 점유율은 G-005로 차단됨
C_comtrade_coverage_matrix,C,UN Comtrade 커버리지 매트릭스 (7 reporter × 2021-2023),matrix,신규,,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,incl_cuttlefish,net_weight,n/a,n/a,coverage,descriptive,n/a,SQ-TRD-COMTRADE,extras/comtrade/Comtrade_squid_byReporter_2021-2023.csv,G-005,comtrade.py,P1+P3-C,"reporter×year 행수 매트릭스. 21개 조합 모두 행이 존재하므로 있음/없음 이진표시 금지 — 실제 문제는 불균등(일본 27/18/54, 페루 5/2/9 vs 스페인 1501/960/1562). G-005 총액·점유율·CAGR 차단은 유지"
C_india_mpeda_exports,C,인도 MPEDA 수출 실적 2025-26,card,신규,,Loligo spp|Cephalopoda NEI,cephalopods_nei,product_weight,export_unit,n/a,level,descriptive,INR,SQ-TRD-MPEDA|SQ-COUNTRY-INDIA-TRADESTAT,00_오징어_관련자료/01_오징어_시장·가격/03_무역·HS/20260600-MPEDA-Marine_Products_Export_Figures_2025-26.md,G-002|G-009,md_extract.py,P1+P3-C,INR 원통화 표시 — 환산 금지 | 원문에서 수치 표를 못 얻어 발췌 카드로 확정(bar→card). 수치 표가 확보되면 되돌릴 것
C_fta_import_trend,C,FTA 수산물 수입 트렌드,card,개보수,w_fta_squid_decouple|w_fta_squid_domestic_comp,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,incl_cuttlefish,net_weight,import_unit,n/a,level,descriptive,USD,SQ-TRD-KMI-FTA,00_오징어_관련자료/01_오징어_시장·가격/03_무역·HS/20260000-KMI-FTA_Seafood_Import_Trends_2025.md,G-002,md_extract.py,P1+P3-C,KMI 2차가공 자료 — grade B | 통화는 원문 기준 USD (명세 초안의 KRW 오류) | 원문에서 수치 표를 못 얻어 발췌 카드로 확정(line→card). 수치 표가 확보되면 되돌릴 것
C_eu_processing_hub,C,스페인·EU 가공허브 물동량,card,개보수,w35_spain_trade_hub|w47_spain_processing_empire|w38_vigo_chokepoint_monopoly,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,cephalopods_nei,product_weight,n/a,n/a,level,descriptive,EUR,SQ-MKT-EUMOFA,00_오징어_관련자료/01_오징어_시장·가격/05_시장·소비/20260812-EUMOFA-Squid_Profile.html;00_오징어_관련자료/01_오징어_시장·가격/05_시장·소비/20251202-EUMOFA-The_EU_Fish_Market_2025.md,G-002,md_extract.py,P1+P3-C,'80% 독점' 등 미검증 수치 제거 — EUMOFA 원문 수치만. 3개 위젯 통합 | 원문에서 수치 표를 못 얻어 발췌 카드로 확정(composed→card). 수치 표가 확보되면 되돌릴 것
C_usda_korea_market,C,USDA GAIN 한국 수산시장 업데이트,card,신규,,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,cephalopods_nei,n/a,n/a,n/a,coverage,descriptive,n/a,SQ-COUNTRY-USDA-KOREA,00_오징어_관련자료/01_오징어_시장·가격/08_국가별_조달/20251200-USDA_GAIN-Korea_Seafood_Market_Update_2025.md,G-002|G-011,md_extract.py,P1+P3-C,2025-12 발간 — 신선도 칩 D+240 이상
D_sprfmo_iuu_list,D,SPRFMO IUU 선박 리스트 2026,table,개보수,w_ofac_iuu_radar|w58_iuu_blackbox_risk,n/a,squid_only,n/a,n/a,n/a,coverage,risk_screening,n/a,SQ-ESG-SPRFMO,00_오징어_관련자료/01_오징어_시장·가격/07_지속가능성·IUU·노동/20260220-SPRFMO-IUU_Vessel_List_2026.md,,md_extract.py,P1+P3-D,mock OFAC API 라우트 폐기하고 이 정적 리스트로 대체
D_sprfmo_compliance,D,SPRFMO 준수보고서 2024-2025 요약,table,신규,,Dosidicus gigas,squid_only,n/a,n/a,n/a,coverage,risk_screening,n/a,SQ-ESG-SPRFMO,00_오징어_관련자료/01_오징어_시장·가격/07_지속가능성·IUU·노동/20260220-SPRFMO-Final_Compliance_Report_2024-2025.md,,md_extract.py,P1+P3-D,국가별 미준수 항목
D_noaa_simp_checklist,D,NOAA SIMP 대상 품목·요구서류 체크리스트,checklist,신규,,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,squid_only,n/a,n/a,n/a,coverage,legal,n/a,SQ-ESG-NOAA-SIMP,00_오징어_관련자료/01_오징어_시장·가격/07_지속가능성·IUU·노동/20260812-NOAA-Seafood_Import_Monitoring_Program.html,,md_extract.py,P1+P3-D,대미 수출 시 실무 체크리스트
D_ejf_risk_map,D,EJF 글로벌 스퀴드 리포트 2026 — 리스크 지도,table,신규,,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,squid_only,n/a,n/a,n/a,coverage,risk_screening,n/a,SQ-ESG-EJF,00_오징어_관련자료/01_오징어_시장·가격/07_지속가능성·IUU·노동/20260604-EJF-Global_Squid_Report_2026.md,G-010,md_extract.py,P1+P3-D,C등급 — claim_type=risk_screening 고정. 법규·시장규모 확정에 단독 사용 불가
D_dwf_labor_risk,D,원양어업 강제노동 리스크 (US DOL),table,개보수,w_squid_forced_labor_dwf_carbon,n/a,squid_only,n/a,n/a,n/a,coverage,risk_screening,n/a,SQ-ESG-DOL,00_오징어_관련자료/01_오징어_시장·가격/07_지속가능성·IUU·노동/20260500-US_DOL-Distant_Water_Fishing_Labor_Risk.md,,md_extract.py,P1+P3-D,탄소 항목은 출처 없어 분리·폐기
D_msc_certified,D,MSC 인증 오징어 어장 현황,table,신규,,Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,squid_only,n/a,n/a,n/a,coverage,risk_screening,n/a,SQ-ESG-MSC,00_오징어_관련자료/01_오징어_시장·가격/07_지속가능성·IUU·노동/20260812-MSC-Squid.html,G-010,md_extract.py,P1+P3-D,C등급 — 보조검증 라벨
D_southam_regulation_timeline,D,남미 규제 변동 타임라인,card,신규,,Illex argentinus|Dosidicus gigas,squid_only,n/a,n/a,legal_limit,coverage,legal,n/a,SQ-MGT-ARGENTINA|SQ-MGT-SUBPESCA|SQ-MGT-PRODUCE,00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20260812-ARG-Resolution_6_2026.html;00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20260812-ARG-CTMFM_Resolution_2_2026.html;00_오징어_관련자료/01_오징어_시장·가격/02_쿼터·어장/20251218-SUBPESCA-Jibia_Quota_2026.md,G-006|G-007,md_extract.py,P1+P3-D,시행계획·제안·최종배분 분리 표기 | 원문에서 수치 표를 못 얻어 발췌 카드로 확정(timeline→card). 수치 표가 확보되면 되돌릴 것
D_korea_origin_labeling,D,국내 원산지 표시 규제 (참고),card,개보수,(intelligence_reports 다수),Todarodes pacificus|Illex argentinus|Dosidicus gigas|Doryteuthis gahi,squid_only,n/a,n/a,n/a,coverage,risk_screening,n/a,SQ-SAFE-NFQS,intelligence_reports/,G-010,md_extract.py,P1+P3-D,원천 대부분 뉴스(C등급) → '참고' 라벨 고정. 공식 법령 원문 확보 전까지 claim_type=legal 승격 금지
E_source_registry,E,출처 원장 36건 (P0/P1/P2 · A/B/C),table,신규,,n/a,squid_only,n/a,n/a,n/a,coverage,descriptive,n/a,SQ-PROD-FAO-FISHSTAT,00_오징어_관련자료/01_오징어_시장·가격/00_운영/source_registry.csv,,governance.py,P1+P4,landing_url 클릭 가능. 위젯 근거 칩에서 역참조
E_gate_status_board,E,측정 게이트 상태판 G-001~011,table,신규,,n/a,squid_only,n/a,n/a,n/a,coverage,descriptive,n/a,SQ-PROD-FAO-FISHSTAT,00_오징어_관련자료/01_오징어_시장·가격/00_운영/measurement_gate.csv,,governance.py,P1+P4,게이트별 적용 위젯 수 + 위반 0 확인. validate_squid_v5.py 출력 반영
E_monitoring_calendar,E,모니터링 캘린더 15계열,table,신규,,n/a,squid_only,n/a,n/a,n/a,coverage,descriptive,n/a,SQ-PROD-FAO-FISHSTAT,00_오징어_관련자료/01_오징어_시장·가격/00_운영/monitoring_calendar.csv,,governance.py,P1+P4,next_check 임박순 정렬. status=*_gap 는 주황
E_freshness_heatmap,E,전 지표 데이터 신선도 히트맵,table,신규,,n/a,squid_only,n/a,n/a,n/a,coverage,descriptive,n/a,SQ-PROD-FAO-FISHSTAT,00_오징어_관련자료/01_오징어_시장·가격/00_운영/monitoring_calendar.csv,,governance.py,P1+P4,"빌드 시각 기준 경과일수. 90일 초과 주황, 365일 초과 적색"
E_corrections_log,E,정정 이력,table,신규,,n/a,squid_only,n/a,n/a,n/a,coverage,descriptive,n/a,MAN-AUDIT-DASHBOARD,artifacts/squid_audit_2026_05_28.md;docs/squid_v5_prune_list.txt,,governance.py,P1+P4,정정 이력의 원천은 아카이브가 아니라 이 repo 다. 아카이브 완료보고서의 P0 21/P1 9 는 출처 레지스트리 우선순위 분포지 정정 건수가 아니다. 2026-05 감사 P0 9·P1 8 + 이번 개편 폐기 77 ID
