src,file,line,id,pillar,title,a1,a2,a3,a4,avg,grade,self_reliability
JSON,public/data/mackerel_real_data_v13.json,0,w52,?,아프리카 수출 급증 추이 분석,60,60,70,100,72.5,C,100
JSON,public/data/mackerel_real_data_v13.json,0,w43,?,EU 어획량 감소 및 어군 이동 분석,90,75,75,100,85.0,A,95
JSON,public/data/mackerel_real_data_v13.json,0,w45,?,가공 형태별 마진율 비교 분석,90,60,70,100,80.0,B,100
JSON,public/data/mackerel_real_data_v13.json,0,w46,?,EU 산지별 1차 판매가 프리미엄 분석,90,70,75,100,83.8,B,95
JSON,public/data/mackerel_real_data_v13.json,0,w49,?,FTA/관세 차익거래 매트릭스,90,95,70,100,88.8,A,100
JSON,public/data/mackerel_real_data_v13.json,0,w50,?,IUU 불법어업 규제 준수 레이더,90,75,70,100,83.8,B,100
JSON,public/data/mackerel_real_data_v13.json,0,w53,?,HMR 이커머스 시장 침투율 추이,60,60,70,100,72.5,C,100
JSON,public/data/mackerel_real_data_v13.json,0,w54,?,MSC 인증 프리미엄 및 탄소 발자국 비교,90,60,70,100,80.0,B,100
JSON,public/data/mackerel_real_data_v13.json,0,w55,?,선원 인권 및 임금체불 리스크 지수,60,60,70,100,72.5,C,100
JSON,public/data/mackerel_real_data_v13.json,0,w56,?,OECD 수산 보조금 및 IUU 감시 레이더,90,60,70,100,80.0,B,100
JSON,public/data/mackerel_real_data_v13.json,0,w57,?,EU 3중 충격 인덱스 (COVID·Brexit·우크라이나),90,95,70,100,88.8,A,100
JSON,public/data/mackerel_real_data_v13.json,0,w58,?,EU 수출시장 방향 전환 분석,60,60,70,100,72.5,C,100
JSON,public/data/mackerel_real_data_v13.json,0,w59,?,EU 밸류체인 가격 워터폴 분석,90,60,70,100,80.0,B,100
JSON,public/data/mackerel_real_data_v13.json,0,w60,?,폴란드 가공 허브 성장 지표 분석,90,95,70,100,88.8,A,100
JSON,public/data/mackerel_real_data_v13.json,0,w61,?,EU 정책 레질리언스 스코어카드,90,60,65,100,78.8,B,85
JSON,public/data/mackerel_real_data_v13.json,0,w62,?,EU→아시아 해상운임 상승 영향 분석,60,60,70,100,72.5,C,100
JSON,public/data/mackerel_real_data_v13.json,0,w63,?,인플레이션발 대체 단백질 소비 효과,90,60,70,100,80.0,B,100
JSON,public/data/mackerel_real_data_v13.json,0,w64,?,2025 Q1 한국 수출 급증 분석 (+84%),90,95,75,100,90.0,A,92
JSON,public/data/mackerel_real_data_v13.json,0,w65,?,노르웨이산 원물 가격 추이 및 최고가 분석,90,75,75,100,85.0,A,95
JSON,public/data/mackerel_real_data_v13.json,0,w66,?,한-영 FTA 수혜 영국산 수입 급증 분석,90,95,75,100,90.0,A,93
JSON,public/data/mackerel_real_data_v13.json,0,w67,?,삼각 가공 재수출 밸류체인 분석,90,75,65,100,82.5,B,85
JSON,public/data/mackerel_real_data_v13.json,0,w68,?,TAC 관리전략평가(MSE) 의사결정 검증,90,60,60,100,77.5,B,
JSON,public/data/mackerel_real_data_v13.json,0,w69,?,환경보정 CPUE 표준화 추이 분석,90,60,60,100,77.5,B,
JSON,public/data/mackerel_real_data_v13.json,0,w70,?,시장가격-자원평가 통합 모델 기여도 분석,90,95,60,100,86.2,A,
JSON,public/data/mackerel_real_data_v13.json,0,w71,?,부산물 지방산 프로파일링 및 고부가가치화,90,75,60,100,81.2,B,
JSON,public/data/mackerel_real_data_v13.json,0,w72,?,AI 초분광 비파괴 신선도 분류 기술 평가,90,70,60,100,80.0,B,
JSON,public/data/mackerel_real_data_v13.json,0,w73,?,남해 고등어 영양단계 및 먹이생태 분석,90,60,60,100,77.5,B,
JSON,public/data/mackerel_real_data_v13.json,0,w74,?,고등어 기반 고령친화식품 물성 연구,90,60,60,100,77.5,B,
JSON,public/data/mackerel_real_data_v13.json,0,w75,?,냉동 필렛 보냉팩 최적화 유통 연구,90,40,60,100,72.5,C,
JSON,public/data/mackerel_real_data_v13.json,0,w_us_boneless,?,미국 순살 고등어 경쟁사 프라이싱 레이더,60,60,60,90,67.5,C,
JSON,public/data/mackerel_real_data_v13.json,0,w_africa_coldchain,?,아프리카(가나/나이지리아) 콜드체인 리스크 지수,60,60,60,90,67.5,C,
JSON,public/data/mackerel_real_data_v13.json,0,w_global_b2c_channel,?,타깃 권역별 소비 채널 점유율 비교,60,60,60,90,67.5,C,
JSON,public/data/mackerel_real_data_v13.json,0,w_busan_procurement,?,부산공동어시장 원물 수매 단가 및 물량,60,60,60,90,67.5,C,
JSON,public/data/mackerel_real_data_v13.json,0,w_andong_salted,?,국내 프리미엄 가공(간고등어) 원물 규격 지표,60,60,60,90,67.5,C,
JSON,public/data/mackerel_real_data_v13.json,0,w_domestic_retail,?,수도권 권역별 소매 채널 가격 스프레드,60,60,60,90,67.5,C,
